id_batiment,nb_maisons,infra_type,cluster_infra,cluster_infra_
E000266,1,a_remplacer,"{'P006709': 13.4212136147779, 'P008025': 10.7673305164675, 'P007692': 9.64962873769354}","{'aerien': 24.1885441312454, 'semi-aerien': 9.64962873769354}"
E000267,1,a_remplacer,"{'P006457': 9.77631599620947, 'P003569': 8.31138115880164, 'P007777': 8.95144561872574}","{'fourreau': 18.72776161493521, 'aerien': 8.31138115880164}"
E000268,1,a_remplacer,"{'P006457': 9.77631599620947, 'P003569': 8.31138115880164, 'P007696': 14.6793721892947}","{'fourreau': 9.77631599620947, 'aerien': 22.99075334809634}"
E000274,1,a_remplacer,"{'P005781': 14.510677085006, 'P007539': 6.64993672554073}",{'aerien': 21.160613810546728}
E000275,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P000717': 5.06471817304192, 'P007618': 3.98512786168602}","{'aerien': 71.23589997298384, 'fourreau': 24.215994177318258}"
E000293,1,a_remplacer,"{'P006709': 13.4212136147779, 'P008025': 10.7673305164675, 'P003849': 4.45174541295179, 'P007713': 14.7479475229988}","{'aerien': 38.9364916542442, 'fourreau': 4.45174541295179}"
E000301,1,a_remplacer,"{'P005726': 13.6049409361135, 'P007994': 5.03354509521443, 'P003202': 3.57039201834049, 'P007597': 6.31480197224767}","{'aerien': 18.63848603132793, 'semi-aerien': 3.57039201834049, 'fourreau': 6.31480197224767}"
E000302,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P000730': 1.29899271965775, 'P007631': 4.7919164305287}","{'aerien': 37.546868144958765, 'fourreau': 6.09090915018645}"
E000303,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P008016': 8.04338585809972, 'P008020': 11.7528304195152, 'P007567': 4.70550586894857}","{'aerien': 78.64439022671966, 'fourreau': 32.259380035417976}"
E000315,1,a_remplacer,"{'P005726': 13.6049409361135, 'P007994': 5.03354509521443, 'P007995': 20.6914541519515, 'P003330': 1.95148972393884, 'P007770': 3.21575403753504}",{'aerien': 44.49718394475332}
E000316,1,a_remplacer,"{'P005726': 13.6049409361135, 'P007994': 5.03354509521443, 'P007995': 20.6914541519515, 'P007996': 9.96720012610787, 'P007662': 1.45309505359909}",{'aerien': 50.750235362986395}
E000317,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P008016': 8.04338585809972, 'P000470': 2.57224945914596, 'P000635': 5.16644492273189, 'P007584': 3.081639376471}","{'aerien': 73.00638769660475, 'fourreau': 32.259380035417976}"
E000322,1,a_remplacer,"{'P006712': 12.5562775429942, 'P003802': 12.5012019609488, 'P007602': 11.2388526888587}","{'fourreau': 12.5562775429942, 'aerien': 23.740054649807497}"
E000325,1,a_remplacer,"{'P006709': 13.4212136147779, 'P008025': 10.7673305164675, 'P003849': 4.45174541295179, 'P008029': 32.2334229767792, 'P003934': 6.60463481490573, 'P007552': 8.33224937288682}","{'aerien': 30.79317894615113, 'fourreau': 12.783994785838608, 'semi-aerien': 32.2334229767792}"
E000326,1,a_remplacer,"{'P006709': 13.4212136147779, 'P008025': 10.7673305164675, 'P003849': 4.45174541295179, 'P008029': 32.2334229767792, 'P008030': 10.1313417193291, 'P007715': 11.9577038177932}","{'aerien': 24.1885441312454, 'fourreau': 4.45174541295179, 'semi-aerien': 54.322468513901505}"
E000327,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P008016': 8.04338585809972, 'P000470': 2.57224945914596, 'P008019': 4.16591671935325, 'P000633': 5.1921602413572, 'P007677': 3.55803562516816}","{'aerien': 69.95046363875906, 'fourreau': 35.817415660586136, 'semi-aerien': 4.16591671935325}"
E000346,1,a_remplacer,"{'P006712': 12.5562775429942, 'P003802': 12.5012019609488, 'P003870': 6.48414270909882, 'P007699': 11.7815303649109}","{'fourreau': 12.5562775429942, 'aerien': 18.98534467004762, 'semi-aerien': 11.7815303649109}"
E000358,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P008016': 8.04338585809972, 'P000470': 2.57224945914596, 'P008019': 4.16591671935325, 'P000464': 4.85875310412324, 'P000629': 5.31366434867898, 'P007544': 3.33630911377794}","{'aerien': 73.40827685985879, 'fourreau': 37.118133139541214, 'semi-aerien': 4.16591671935325}"
E000359,1,a_remplacer,"{'P006712': 12.5562775429942, 'P003802': 12.5012019609488, 'P003870': 6.48414270909882, 'P003881': 5.48429532793334, 'P007637': 11.4459140938685}","{'fourreau': 12.5562775429942, 'aerien': 35.915554091849465}"
E000360,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004282': 6.15148232447661, 'P007528': 10.759672538483}","{'fourreau': 35.523400123357604, 'aerien': 16.91115486295961}"
E000361,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004271': 6.61138266761108, 'P007529': 12.4769836838268}","{'fourreau': 42.134782790968686, 'aerien': 12.4769836838268}"
